dosage	id	context	text
10 μg	2482	n = 12 ) , 10 μg ( n = 12 )	"Safety , tolerability , pharmacokinetics , and pharmacodynamics of low dose lysergic acid diethylamide ( LSD ) in healthy older volunteers.^ 
 Research has shown that psychedelics , such as lysergic acid diethylamide ( LSD ) , have profound anti - inflammatory properties mediated by 5 - HT(2A ) receptor signaling , supporting their evaluation as a therapeutic for neuroinflammation associated with neurodegenerative disease . OBJECTIVE : This study evaluated the safety , tolerability , pharmacokinetics , and pharmacodynamics of orally repeated administration of 5 μg , 10 μg , and 20 μg LSD in older healthy individuals . In the current paper , we present safety , tolerability , pharmacokinetics , and pharmacodynamic measures that relate to safety , tolerability , and dose response . METHODS : This was a phase 1 double - blind , placebo - controlled , randomized study . Volunteers were randomly assigned to 1 of 4 dose groups ( 5 μg , 10 μg , 20 μg LSD , and placebo ) , and received their assigned dose on six occasions ( i.e. , every 4 days ) . RESULTS : Forty - eight older healthy volunteers ( mean age = 62.9 years ) received placebo ( n = 12 ) , 5 μg ( n = 12 ) , 10 μg ( n = 12 ) , or 20 μg ( n = 12 ) LSD . LSD plasma levels were undetectable for the 5 μg group and peak blood plasma levels for the 10 μg and 20 μg groups occurred at 30 min . LSD was well tolerated , and the frequency of adverse events was no higher than for placebo . Assessments of cognition , balance , and proprioception revealed no impairment . CONCLUSIONS : Our results suggest safety and tolerability of orally administered 5 μg , 10 μg , and 20 μg LSD every fourth day over a 21 - day period and support further clinical development of LSD for the treatment and prevention of Alzheimer 's disease ( AD ) ."
20 μg	2482	= 12 ) , or 20 μg ( n = 12 )	"Safety , tolerability , pharmacokinetics , and pharmacodynamics of low dose lysergic acid diethylamide ( LSD ) in healthy older volunteers.^ 
 Research has shown that psychedelics , such as lysergic acid diethylamide ( LSD ) , have profound anti - inflammatory properties mediated by 5 - HT(2A ) receptor signaling , supporting their evaluation as a therapeutic for neuroinflammation associated with neurodegenerative disease . OBJECTIVE : This study evaluated the safety , tolerability , pharmacokinetics , and pharmacodynamics of orally repeated administration of 5 μg , 10 μg , and 20 μg LSD in older healthy individuals . In the current paper , we present safety , tolerability , pharmacokinetics , and pharmacodynamic measures that relate to safety , tolerability , and dose response . METHODS : This was a phase 1 double - blind , placebo - controlled , randomized study . Volunteers were randomly assigned to 1 of 4 dose groups ( 5 μg , 10 μg , 20 μg LSD , and placebo ) , and received their assigned dose on six occasions ( i.e. , every 4 days ) . RESULTS : Forty - eight older healthy volunteers ( mean age = 62.9 years ) received placebo ( n = 12 ) , 5 μg ( n = 12 ) , 10 μg ( n = 12 ) , or 20 μg ( n = 12 ) LSD . LSD plasma levels were undetectable for the 5 μg group and peak blood plasma levels for the 10 μg and 20 μg groups occurred at 30 min . LSD was well tolerated , and the frequency of adverse events was no higher than for placebo . Assessments of cognition , balance , and proprioception revealed no impairment . CONCLUSIONS : Our results suggest safety and tolerability of orally administered 5 μg , 10 μg , and 20 μg LSD every fourth day over a 21 - day period and support further clinical development of LSD for the treatment and prevention of Alzheimer 's disease ( AD ) ."
5 μg	2482	levels were undetectable for the 5 μg group and peak blood plasma	"Safety , tolerability , pharmacokinetics , and pharmacodynamics of low dose lysergic acid diethylamide ( LSD ) in healthy older volunteers.^ 
 Research has shown that psychedelics , such as lysergic acid diethylamide ( LSD ) , have profound anti - inflammatory properties mediated by 5 - HT(2A ) receptor signaling , supporting their evaluation as a therapeutic for neuroinflammation associated with neurodegenerative disease . OBJECTIVE : This study evaluated the safety , tolerability , pharmacokinetics , and pharmacodynamics of orally repeated administration of 5 μg , 10 μg , and 20 μg LSD in older healthy individuals . In the current paper , we present safety , tolerability , pharmacokinetics , and pharmacodynamic measures that relate to safety , tolerability , and dose response . METHODS : This was a phase 1 double - blind , placebo - controlled , randomized study . Volunteers were randomly assigned to 1 of 4 dose groups ( 5 μg , 10 μg , 20 μg LSD , and placebo ) , and received their assigned dose on six occasions ( i.e. , every 4 days ) . RESULTS : Forty - eight older healthy volunteers ( mean age = 62.9 years ) received placebo ( n = 12 ) , 5 μg ( n = 12 ) , 10 μg ( n = 12 ) , or 20 μg ( n = 12 ) LSD . LSD plasma levels were undetectable for the 5 μg group and peak blood plasma levels for the 10 μg and 20 μg groups occurred at 30 min . LSD was well tolerated , and the frequency of adverse events was no higher than for placebo . Assessments of cognition , balance , and proprioception revealed no impairment . CONCLUSIONS : Our results suggest safety and tolerability of orally administered 5 μg , 10 μg , and 20 μg LSD every fourth day over a 21 - day period and support further clinical development of LSD for the treatment and prevention of Alzheimer 's disease ( AD ) ."
10 μg	2482	blood plasma levels for the 10 μg and 20 μg groups occurred	"Safety , tolerability , pharmacokinetics , and pharmacodynamics of low dose lysergic acid diethylamide ( LSD ) in healthy older volunteers.^ 
 Research has shown that psychedelics , such as lysergic acid diethylamide ( LSD ) , have profound anti - inflammatory properties mediated by 5 - HT(2A ) receptor signaling , supporting their evaluation as a therapeutic for neuroinflammation associated with neurodegenerative disease . OBJECTIVE : This study evaluated the safety , tolerability , pharmacokinetics , and pharmacodynamics of orally repeated administration of 5 μg , 10 μg , and 20 μg LSD in older healthy individuals . In the current paper , we present safety , tolerability , pharmacokinetics , and pharmacodynamic measures that relate to safety , tolerability , and dose response . METHODS : This was a phase 1 double - blind , placebo - controlled , randomized study . Volunteers were randomly assigned to 1 of 4 dose groups ( 5 μg , 10 μg , 20 μg LSD , and placebo ) , and received their assigned dose on six occasions ( i.e. , every 4 days ) . RESULTS : Forty - eight older healthy volunteers ( mean age = 62.9 years ) received placebo ( n = 12 ) , 5 μg ( n = 12 ) , 10 μg ( n = 12 ) , or 20 μg ( n = 12 ) LSD . LSD plasma levels were undetectable for the 5 μg group and peak blood plasma levels for the 10 μg and 20 μg groups occurred at 30 min . LSD was well tolerated , and the frequency of adverse events was no higher than for placebo . Assessments of cognition , balance , and proprioception revealed no impairment . CONCLUSIONS : Our results suggest safety and tolerability of orally administered 5 μg , 10 μg , and 20 μg LSD every fourth day over a 21 - day period and support further clinical development of LSD for the treatment and prevention of Alzheimer 's disease ( AD ) ."
20 μg	2482	for the 10 μg and 20 μg groups occurred at 30 min	"Safety , tolerability , pharmacokinetics , and pharmacodynamics of low dose lysergic acid diethylamide ( LSD ) in healthy older volunteers.^ 
 Research has shown that psychedelics , such as lysergic acid diethylamide ( LSD ) , have profound anti - inflammatory properties mediated by 5 - HT(2A ) receptor signaling , supporting their evaluation as a therapeutic for neuroinflammation associated with neurodegenerative disease . OBJECTIVE : This study evaluated the safety , tolerability , pharmacokinetics , and pharmacodynamics of orally repeated administration of 5 μg , 10 μg , and 20 μg LSD in older healthy individuals . In the current paper , we present safety , tolerability , pharmacokinetics , and pharmacodynamic measures that relate to safety , tolerability , and dose response . METHODS : This was a phase 1 double - blind , placebo - controlled , randomized study . Volunteers were randomly assigned to 1 of 4 dose groups ( 5 μg , 10 μg , 20 μg LSD , and placebo ) , and received their assigned dose on six occasions ( i.e. , every 4 days ) . RESULTS : Forty - eight older healthy volunteers ( mean age = 62.9 years ) received placebo ( n = 12 ) , 5 μg ( n = 12 ) , 10 μg ( n = 12 ) , or 20 μg ( n = 12 ) LSD . LSD plasma levels were undetectable for the 5 μg group and peak blood plasma levels for the 10 μg and 20 μg groups occurred at 30 min . LSD was well tolerated , and the frequency of adverse events was no higher than for placebo . Assessments of cognition , balance , and proprioception revealed no impairment . CONCLUSIONS : Our results suggest safety and tolerability of orally administered 5 μg , 10 μg , and 20 μg LSD every fourth day over a 21 - day period and support further clinical development of LSD for the treatment and prevention of Alzheimer 's disease ( AD ) ."
10 mg	6007	treatment group will receive ketamine 10 mg ( ketamine 10 mg /	"Does a Single Intravenous Dose of Ketamine Reduce the Need for Supplemental Opioids in Post - Cesarean Section Patients?.^ 
 Eligible women for elective cesarean section admitted to the Labor and Delivery Unit of Prentice Women 's Hospital will be approached for study participation immediately after the routine preanesthetic evaluation . This occurs shortly after admission to the Labor and Delivery Unit . Women who agree to participate will give written , informed consent at this time . Subjects will be prepared preoperatively in the usual fashion with intravenous ( IV ) access , aspiration prophylaxis and intraoperative monitoring . Preincision antibiotics will be given and uterotonic medications will be used as per usual practice after delivery . The anesthesiologist will perform a spinal anesthetic per routine with the subject in the sitting position using sterile technique at the L3‐4 interspace ( ± one vertebral interspace ) . The spinal anesthetic will consist of 12 mg of hyperbaric bupivacaine + 15 μg fentanyl + 150 μg of morphine . The subject will be placed supine with left lateral tilt to alleviate aortocaval compression . Cesarean section will commence after adequate anesthesia is assured to a T4 sensory level to pinprick . Vasopressors and IV fluids will be administered at the anesthesiologist 's discretion per usual practice . At the time of delivery , subjects will be randomized to one of two groups using a computer generated random number table . Randomization will be blocked based on whether the cesarean procedure is a primary or a repeat procedure . Randomization assignments will be kept in sequentially numbered opaque envelopes . The envelope will be opened by a research nurse who will prepare a 20 mL syringe labeled "" study drug "" . The syringe will be given to the anesthesiologist blinded to the treatment group who will subsequently administer the study drug . Subjects randomized to the treatment group will receive ketamine 10 mg ( ketamine 10 mg / mL ) diluted to 20 mL with 0.9 % preservative free saline . Subjects randomized to the placebo group will receive 20 mL preservative free saline . The study drug will be administered into the intravenous line via an infusion pump over 10 minutes . Five minutes after placebo or drug administration , the anesthesiologist will ask the subject if she has nausea , vomiting and pruritus . Nausea and pruritus will be graded as none , mild , moderate or severe ; and vomiting as present or absent . Any spontaneous complaints of psychedelic effects will be noted at this time . Sedation will be assessed via the Richmond agitation‐sedation scale ( RASS [ see Appendix 1 ] ) . Upon completion of the cesarean section , the subject will be transported to the post anesthesia recovery unit . Patients will receive ketorolac 30 mg every 6 hours time 4 doses beginning shortly after admission to the PACU . At 1 h , 4 h , 8 h , 12 h and at 24 h after administration of the study drug , the subject 's pain will be assessed using the numeric rating scale for pain NRS 0‐10 ( see Appendix 2 ) . Patients may request rescue analgesia if they are experiencing discomfort . The time of first rescue analgesia request will be noted , and the NRS will be determined at the time of request for rescue analgesia . Rescue medication will consist of hydrocodone 10 mg plus acetaminophen 325 mg per os . An additional dose of hydrocodone 10 mg plus acetaminophen 325 mg will be provided after 1 hour if the pain is not relieved to the subject 's satisfaction . These are routine oral analgesic medications for postoperative cesarean delivery analgesia . Standard orders will be written for monitoring sedation and respiratory rate , and treatment of side effects ( nausea , vomiting , pruritus and respiratory depression ) . The total amount of rescue medication will be determined for each subject after 24 , 48 and 72 hours . The presence of nausea , vomiting , and pruritus will be assessed at the same time intervals as the NRS for pain : 1 h , 4 h , 8 h , 12 h and 24 h after IV infusion of ketamine or placebo . The subjective psychedelic effects of ketamine and morphine will be assessed using a set of true / false questions from the LSD and morphine short form of the Addiction Research Center In entory , ARCI ( Appendix 3 ) . These questions will be administered verbally by the anesthesiologist or researcher blinded to the treatment group upon admission to the PACU and at 4 h. The following data will be collected in addition to the primary and secondary outcome data : maternal age , height , weight , prepregnancy weight , gestational age and IV fluids administered during cesarean section . In addition , all intraoperative and postoperative medications will be recorded , including those administered for the treatment of side effects listed above . Protocol specific analgesia assessment ends 24 hours after administration of the study drug . At 72 hours the subject will be asked about her satisfaction with postoperative analgesia ( 100 mm scale , 0 mm = not satisfied at all , 100 mm = very satisfied ) . One telephone follow‐up evaluation 2 weeks after delivery will again , assess for satisfaction with analgesia and average pain ( NRS ) since the procedure ."
25 mg	56	dose of synthetic psilocybin , 25 mg , was administered . Psychotropic	"Single - Dose Synthetic Psilocybin With Psychotherapy for Treatment - Resistant Bipolar Type II Major Depressive Episodes : A Nonrandomized Controlled Trial.^ 
 IMPORTANCE : Bipolar II disorder ( BDII ) is a debilitating condition frequently associated with difficult - to - treat depressive episodes . Psilocybin has evidence for rapid - acting antidepressant effects but has not been investigated in bipolar depression . OBJECTIVE : To establish the safety and efficacy of psilocybin in patients with BDII in a current depressive episode . DESIGN , SETTING , AND PARTICIPANTS : This was a 12 - week , open - label nonrandomized controlled trial conducted at Sheppard Pratt Hospital . Participants aged 18 to 65 years with BDII , a current depressive episode longer than 3 months , and documented insufficient benefit with at least 2 pharmacologic treatments during the current episode were invited to participate . Of 70 approached , 19 met inclusion criteria and were enrolled . The trial was conducted between April 14 , 2021 , and January 5 , 2023 . INTERVENTIONS : A single dose of synthetic psilocybin , 25 mg , was administered . Psychotropic medications were discontinued at least 2 weeks prior to dosing . Therapists met with patients for 3 sessions during pretreatment , during the 8 - hour dosing day , and for 3 integration sessions posttreatment . MAIN OUTCOMES AND MEASURES : The primary outcome measure was change in Montgomery - Åsberg Depression Rating scale ( MADRS ) at 3 weeks posttreatment . Secondary measures included MADRS scores 12 weeks posttreatment , the self - rated Quick Inventory of Depression Symptoms - Self Rating ( QIDS - SR ) , and the self - rated Quality of Life Enjoyment and Satisfaction Questionnaire - Short Form ( Q - LES - Q - SF ) , each completed at baseline and all subsequent visits . Safety measures included the Columbia Suicide Severity Rating Scale ( CSSRS ) and the Young Mania Rating Scale ( YMRS ) completed at each visit . RESULTS : Of the 15 participants in this study ( 6 male and 9 female ; mean [ SD ] age , 37.8 [ 11.6 ] years ) , all had lower scores at week 3 , with a mean ( SD ) change of -24.00 ( 9.23 ) points on the MADRS , ( Cohen d = 4.08 ; 95 % CI , -29.11 to -18.89 ; P < .001 ) . Repeat measures analysis of variance showed lower MADRS scores at all tested posttreatment time points , including the end point ( Cohen d = 3.39 ; 95 % CI , -33.19 to -16.95 ; adjusted P < .001 ) . At week 3 , 12 participants met the response criterion ( 50 % decrease in MADRS ) , and 11 met remission criterion ( MADRS score ≤10 ) . At the study end point , 12 patients met both response and remission criteria . QIDS - SR scores and Q - LES - Q - SF scores demonstrated similar improvements . YMRS and CSSRS scores did not change significantly at posttreatment compared to baseline . CONCLUSIONS AND RELEVANCE : The findings in this open - label nonrandomized controlled trial suggest efficacy and safety of psilocybin with psychotherapy in BDII depression and supports further study of psychedelics in this population ."
100 microg / kg	5789	frankly hallucinogenic . Low ( 100 microg / kg ) , medium ( 200	"Safety , tolerability , and efficacy of psilocybin in 9 patients with obsessive - compulsive disorder.^ 
 BACKGROUND : Anecdotal reports suggest that psychedelic agents may relieve symptoms of obsessive - compulsive disorder ( OCD ) . This modified double - blind study investigated the safety , tolerability , and clinical effects of psilocybin , a potent 5 - HT(1A ) and 5 - HT(2A/2C ) agonist , in patients with OCD . METHOD : Nine subjects with DSM - IV - defined OCD and no other current major psychiatric disorder participated in up to 4 single - dose exposures to psilocybin in doses ranging from sub - hallucinogenic to frankly hallucinogenic . Low ( 100 microg / kg ) , medium ( 200 microg / kg ) , and high ( 300 microg / kg ) doses were assigned in that order , and a very low dose ( 25 microg / kg ) was inserted randomly and in double - blind fashion at any time after the first dose . Testing days were separated by at least 1 week . Each session was conducted over an 8 - hour period in a controlled environment in an outpatient clinic ; subjects were then transferred to a psychiatric inpatient unit for overnight observation . The Yale - Brown Obsessive Compulsive Scale ( YBOCS ) and a visual analog scale measuring overall obsessive - compulsive symptom severity were administered at 0 , 4 , 8 , and 24 hours post - ingestion . The Hallucinogen Rating Scale was administered at 8 hours , and vital signs were recorded at 0 , 1 , 4 , 8 , and 24 hours after ingestion . The study was conducted from November 2001 to November 2004 . RESULTS : Nine subjects were administered a total of 29 psilocybin doses . One subject experienced transient hypertension without relation to anxiety or somatic symptoms , but no other significant adverse effects were observed . Marked decreases in OCD symptoms of variable degrees were observed in all subjects during 1 or more of the testing sessions ( 23%-100 % decrease in YBOCS score ) . Repeated - measures analysis of variance for all YBOCS values revealed a significant main effect of time on Wilks lambda ( F = 9.86 , df = 3,3 ; p = .046 ) , but no significant effect of dose ( F = 2.25 , df = 3,3 ; p = .261 ) or interaction of time and dose ( F = 0.923 , df = 9,45 ; p = .515 ) . Improvement generally lasted past the 24 - hour timepoint . CONCLUSIONS : In a controlled clinical environment , psilocybin was safely used in subjects with OCD and was associated with acute reductions in core OCD symptoms in several subjects ."
( 200 microg / kg	5789	/ kg ) , medium ( 200 microg / kg ) , and high (	"Safety , tolerability , and efficacy of psilocybin in 9 patients with obsessive - compulsive disorder.^ 
 BACKGROUND : Anecdotal reports suggest that psychedelic agents may relieve symptoms of obsessive - compulsive disorder ( OCD ) . This modified double - blind study investigated the safety , tolerability , and clinical effects of psilocybin , a potent 5 - HT(1A ) and 5 - HT(2A/2C ) agonist , in patients with OCD . METHOD : Nine subjects with DSM - IV - defined OCD and no other current major psychiatric disorder participated in up to 4 single - dose exposures to psilocybin in doses ranging from sub - hallucinogenic to frankly hallucinogenic . Low ( 100 microg / kg ) , medium ( 200 microg / kg ) , and high ( 300 microg / kg ) doses were assigned in that order , and a very low dose ( 25 microg / kg ) was inserted randomly and in double - blind fashion at any time after the first dose . Testing days were separated by at least 1 week . Each session was conducted over an 8 - hour period in a controlled environment in an outpatient clinic ; subjects were then transferred to a psychiatric inpatient unit for overnight observation . The Yale - Brown Obsessive Compulsive Scale ( YBOCS ) and a visual analog scale measuring overall obsessive - compulsive symptom severity were administered at 0 , 4 , 8 , and 24 hours post - ingestion . The Hallucinogen Rating Scale was administered at 8 hours , and vital signs were recorded at 0 , 1 , 4 , 8 , and 24 hours after ingestion . The study was conducted from November 2001 to November 2004 . RESULTS : Nine subjects were administered a total of 29 psilocybin doses . One subject experienced transient hypertension without relation to anxiety or somatic symptoms , but no other significant adverse effects were observed . Marked decreases in OCD symptoms of variable degrees were observed in all subjects during 1 or more of the testing sessions ( 23%-100 % decrease in YBOCS score ) . Repeated - measures analysis of variance for all YBOCS values revealed a significant main effect of time on Wilks lambda ( F = 9.86 , df = 3,3 ; p = .046 ) , but no significant effect of dose ( F = 2.25 , df = 3,3 ; p = .261 ) or interaction of time and dose ( F = 0.923 , df = 9,45 ; p = .515 ) . Improvement generally lasted past the 24 - hour timepoint . CONCLUSIONS : In a controlled clinical environment , psilocybin was safely used in subjects with OCD and was associated with acute reductions in core OCD symptoms in several subjects ."
300 microg / kg	5789	) , and high ( 300 microg / kg ) doses were assigned in	"Safety , tolerability , and efficacy of psilocybin in 9 patients with obsessive - compulsive disorder.^ 
 BACKGROUND : Anecdotal reports suggest that psychedelic agents may relieve symptoms of obsessive - compulsive disorder ( OCD ) . This modified double - blind study investigated the safety , tolerability , and clinical effects of psilocybin , a potent 5 - HT(1A ) and 5 - HT(2A/2C ) agonist , in patients with OCD . METHOD : Nine subjects with DSM - IV - defined OCD and no other current major psychiatric disorder participated in up to 4 single - dose exposures to psilocybin in doses ranging from sub - hallucinogenic to frankly hallucinogenic . Low ( 100 microg / kg ) , medium ( 200 microg / kg ) , and high ( 300 microg / kg ) doses were assigned in that order , and a very low dose ( 25 microg / kg ) was inserted randomly and in double - blind fashion at any time after the first dose . Testing days were separated by at least 1 week . Each session was conducted over an 8 - hour period in a controlled environment in an outpatient clinic ; subjects were then transferred to a psychiatric inpatient unit for overnight observation . The Yale - Brown Obsessive Compulsive Scale ( YBOCS ) and a visual analog scale measuring overall obsessive - compulsive symptom severity were administered at 0 , 4 , 8 , and 24 hours post - ingestion . The Hallucinogen Rating Scale was administered at 8 hours , and vital signs were recorded at 0 , 1 , 4 , 8 , and 24 hours after ingestion . The study was conducted from November 2001 to November 2004 . RESULTS : Nine subjects were administered a total of 29 psilocybin doses . One subject experienced transient hypertension without relation to anxiety or somatic symptoms , but no other significant adverse effects were observed . Marked decreases in OCD symptoms of variable degrees were observed in all subjects during 1 or more of the testing sessions ( 23%-100 % decrease in YBOCS score ) . Repeated - measures analysis of variance for all YBOCS values revealed a significant main effect of time on Wilks lambda ( F = 9.86 , df = 3,3 ; p = .046 ) , but no significant effect of dose ( F = 2.25 , df = 3,3 ; p = .261 ) or interaction of time and dose ( F = 0.923 , df = 9,45 ; p = .515 ) . Improvement generally lasted past the 24 - hour timepoint . CONCLUSIONS : In a controlled clinical environment , psilocybin was safely used in subjects with OCD and was associated with acute reductions in core OCD symptoms in several subjects ."
25 microg / kg	5789	a very low dose ( 25 microg / kg ) was inserted randomly and	"Safety , tolerability , and efficacy of psilocybin in 9 patients with obsessive - compulsive disorder.^ 
 BACKGROUND : Anecdotal reports suggest that psychedelic agents may relieve symptoms of obsessive - compulsive disorder ( OCD ) . This modified double - blind study investigated the safety , tolerability , and clinical effects of psilocybin , a potent 5 - HT(1A ) and 5 - HT(2A/2C ) agonist , in patients with OCD . METHOD : Nine subjects with DSM - IV - defined OCD and no other current major psychiatric disorder participated in up to 4 single - dose exposures to psilocybin in doses ranging from sub - hallucinogenic to frankly hallucinogenic . Low ( 100 microg / kg ) , medium ( 200 microg / kg ) , and high ( 300 microg / kg ) doses were assigned in that order , and a very low dose ( 25 microg / kg ) was inserted randomly and in double - blind fashion at any time after the first dose . Testing days were separated by at least 1 week . Each session was conducted over an 8 - hour period in a controlled environment in an outpatient clinic ; subjects were then transferred to a psychiatric inpatient unit for overnight observation . The Yale - Brown Obsessive Compulsive Scale ( YBOCS ) and a visual analog scale measuring overall obsessive - compulsive symptom severity were administered at 0 , 4 , 8 , and 24 hours post - ingestion . The Hallucinogen Rating Scale was administered at 8 hours , and vital signs were recorded at 0 , 1 , 4 , 8 , and 24 hours after ingestion . The study was conducted from November 2001 to November 2004 . RESULTS : Nine subjects were administered a total of 29 psilocybin doses . One subject experienced transient hypertension without relation to anxiety or somatic symptoms , but no other significant adverse effects were observed . Marked decreases in OCD symptoms of variable degrees were observed in all subjects during 1 or more of the testing sessions ( 23%-100 % decrease in YBOCS score ) . Repeated - measures analysis of variance for all YBOCS values revealed a significant main effect of time on Wilks lambda ( F = 9.86 , df = 3,3 ; p = .046 ) , but no significant effect of dose ( F = 2.25 , df = 3,3 ; p = .261 ) or interaction of time and dose ( F = 0.923 , df = 9,45 ; p = .515 ) . Improvement generally lasted past the 24 - hour timepoint . CONCLUSIONS : In a controlled clinical environment , psilocybin was safely used in subjects with OCD and was associated with acute reductions in core OCD symptoms in several subjects ."
( 0.5 mg / kg	4732	. Bolus injections of ketamine ( 0.5 mg / kg ) or placebo were given	"Absence of ketamine effects on memory and other cognitive functions in schizophrenia patients.^ 
 Glutamatergic dysfunction may play an important role in both the pathophysiology of schizophrenia , and impaired memory commonly observed in that disorder . NMDA receptor antagonists impair learning / memory in animal models , putatively based on its ability to block long - term potentiation ( LTP ) in the hippocampus . Although well studied in animal models , research in humans is limited and confounded by administration of NMDA antagonists before the learning experience . Based on presumed glutamatergic dysfunction , it was predicted that the NMDA antagonist ketamine would not effect memory in schizophrenic subjects . Bolus injections of ketamine ( 0.5 mg / kg ) or placebo were given to seven patients with schizophrenia in this double - blind cross - over study . Immediately prior to injection , subjects were administered verbal and figural memory tests . Delayed recalls were obtained 30 - 45 min postinjection . In order to rule out drug - induced generalized cognitive impairments , other cognitive tasks were administered pre- and postinjection . The results indicate no differences between the drug and placebo conditions for either memory task , and no changes on the other cognitive tasks observed ."
0.3 mg / kg	8706	, in a dose of 0.3 mg / kg i.v . , on concurrent	"The effects of low dose ketamine on sensory gating , neuroendocrine secretion and behavior in healthy human subjects.^ 
 Recently , much interest has been given to the role of glutamatergic N - methyl - D - aspartate receptors ( NMDA ) in sensory gating , such as prepulse inhibition ( PPI ) and reduction of the P50 evoked response potential ( ERP ) . Currently , mainly animal data are available describing the role of NMDA receptors in these stimulus evaluation processes . Human data are virtually lacking and are potentially important , for instance for the understanding of sensory gating deficits observed in schizophrenia . Therefore , the effects of the NMDA antagonist ketamine , in a dose of 0.3 mg / kg i.v . , on concurrent assessment of PPI and P50 reduction was studied in 18 healthy male volunteers . Ketamine was administered in a pseudo - steady state model with a subacute loading dose . In addition , the effects of ketamine on behavior , vital signs , homovanillic acid ( HVA ) plasma levels and secretion of cortisol and luteinizing hormone ( LH ) were also determined . Ketamine did not significantly alter PPI or the reduction of the P50 ERP . A small but significant increase in Brief Psychiatric Rating Scale ( BPRS ) total scores and BPRS composite scores "" thinking disorder "" and "" withdrawal / retardation "" was observed . Several subjects experienced visual perceptional alterations , but complex hallucinations did not occur . Ketamine induced mild analgesia and coordination problems . In addition , ketamine induced a marked rise in cortisol secretion , while LH secretion was not affected . Finally , systolic and diastolic , blood pressure and heart rate increased during ketamine infusion . Although in humans NMDA receptors may not be involved in the regulation of PPI and P50 reduction , the most likely explanation for the lack of effect of ketamine on these sensory gating paradigms is the dose used in this experiment . However , using a higher dose is hampered by the aspecificity of racemic ketamine . Future studies should use the enantiomer S - ketamine , which is more specific to NMDA receptors , to evaluate the involvement of NMDA receptors in these neurophysiological processes further ."
0.5 mg / kg	7573	after receiving one and four 0.5 mg / kg intravenous ketamine infusions . Healthy	"Modulation of the functional connectome in major depressive disorder by ketamine therapy.^ 
 Background : Subanesthetic ketamine infusion therapy can produce fast - acting antidepressant effects in patients with major depression . How single and repeated ketamine treatment modulates the whole - brain functional connectome to affect clinical outcomes remains uncharacterized . Methods : Data - driven whole brain functional connectivity ( FC ) analysis was used to identify the functional connections modified by ketamine treatment in patients with major depressive disorder ( MDD ) . MDD patients ( N = 61 , mean age = 38 , 19 women ) completed baseline resting - state ( RS ) functional magnetic resonance imaging and depression symptom scales . Of these patients , n = 48 and n = 51 , completed the same assessments 24 h after receiving one and four 0.5 mg / kg intravenous ketamine infusions . Healthy controls ( HC ) ( n = 40 , 24 women ) completed baseline assessments with no intervention . Analysis of RS FC addressed effects of diagnosis , time , and remitter status . Results : Significant differences ( p < 0.05 , corrected ) in RS FC were observed between HC and MDD at baseline in the somatomotor network and between association and default mode networks . These disruptions in FC in MDD patients trended toward control patterns with ketamine treatment . Furthermore , following serial ketamine infusions , significant decreases in FC were observed between the cerebellum and salience network ( SN ) ( p < 0.05 , corrected ) . Patient remitters showed increased FC between the cerebellum and the striatum prior to treatment that decreased following treatment , whereas non - remitters showed the opposite pattern . Conclusion : Results support that ketamine treatment leads to neurofunctional plasticity between distinct neural networks that are shown as disrupted in MDD patients . Cortico - striatal - cerebellar loops that encompass the SN could be a potential biomarker for ketamine treatment . ( PsycInfo Database Record ( c ) 2022 APA , all rights reserved )"
75 to 125 mg	1829	randomized to receive MDMA ( 75 to 125 mg , n = 8) or	"Reduction in social anxiety after MDMA - assisted psychotherapy with autistic adults : a randomized , double - blind , placebo - controlled pilot study.^ 
 RATIONALE : Standard therapeutic approaches to reduce social anxiety in autistic adults have limited effectiveness . Since 3,4 - methylenedioxymethamphetamine ( MDMA)-assisted psychotherapy shows promise as a treatment for other anxiety disorders , a blinded , placebo - controlled pilot study was conducted . OBJECTIVES : To explore feasibility and safety of MDMA - assisted psychotherapy for reduction of social fear and avoidance that are common in the autistic population . METHODS : Autistic adults with marked to very severe social anxiety were randomized to receive MDMA ( 75 to 125 mg , n = 8) or inactive placebo ( 0 mg , n = 4 ) during two 8 - h psychotherapy sessions ( experimental sessions ) in a controlled clinical setting . Double - blinded experimental sessions were spaced approximately 1 month apart with 3 non - drug psychotherapy sessions following each . The primary outcome was change in Leibowitz Social Anxiety Scale ( LSAS ) Total scores from Baseline to one month after the second experimental session . Outcomes were measured again six months after the last experimental session . RESULTS : Improvement in LSAS scores from baseline to the primary endpoint was significantly greater for MDMA group compared to the placebo group ( P = 0.037 ) , and placebo - subtracted Cohen 's d effect size was very large ( d = 1.4 , CI - 0.074 , 2.874 ) . Change in LSAS scores from baseline to 6 - month follow - up showed similar positive results ( P = 0.036 ) , with a Cohen 's d effect size of 1.1 ( CI - 0.307 , 2.527 ) . Social anxiety remained the same or continued to improve slightly for most participants in the MDMA group after completing the active treatment phase . CONCLUSIONS : This pilot trial demonstrated rapid and durable improvement in social anxiety symptoms in autistic adults following MDMA - assisted psychotherapy . Initial safety and efficacy outcomes support expansion of research into larger samples to further investigate this novel treatment for social anxiety . TRIAL REGISTRATION : clinicaltrials.gov identifier , NCT02008396 ."
