Study Type: Randomized-controlled trial (RCT),Study Type: Pre-post study,Study Type: Case Report,Study Type: Case Series,Study Type: Cohort Study,Study Type: Cross-Sectional Study,Study Type: Systematic Review/Meta-analysis,Study Type: Qualitative Study,Study Type: Study protocol,Study Type: Unknown,Study Type: Other,Data Type: Longitudinal,Data Type: Cross-sectional,Data Type: Unknown,Data Collection: Retrospective,Data Collection: Prospective,Data Collection: Unknown,Clinical Trial Phase: Phase 1,Clinical Trial Phase: Phase 2,Clinical Trial Phase: Phase 3,Clinical Trial Phase: Phase 4,Clinical Trial Phase: Unknown,Clinical Trial Phase: Not Applicable,Outcomes: The ability to drive a car,Outcomes: Suicide,Outcomes: Functional MRI,Outcomes: Physiological Functions,Outcomes: Mental Functions,Outcomes: Pharmacokinetics,Condition: Psychiatric Condition,Condition: Pain,Condition: Recreational Drug Use,Condition: Healthy Participants,Condition: Palliative Setting,Substance: LSD,Substance: Psilocybin,Substance: Mescaline,Substance: DMT,Substance: Ayahuasca,Substance: 5-MeO-DMT,Substance: MDMA,Substance: Ketamine,Substance: Ibogaine,Substance: Salvinorin A,Substance: Combination Therapy,Number of Participants: 1-20,Number of Participants: 21-40,Number of Participants: 41-60,Number of Participants: 61-80,Number of Participants: 81-100,Number of Participants: >100,Number of Participants: Unknown,Sex of Participants: Male,Sex of Participants: Female,Sex of Participants: Both sexes,Sex of Participants: Unknown,Age of Participants: Pediatric (< 18 years old),Age of Participants: Adult (≥18 years),Age of Participants: Unknown,Adverse Event: No adverse event(s) were reported,Adverse Event: Adverse event(s) were reported,Adverse Event: No reporting of adverse event(s),Adverse Event: Not Applicable,Conclusion: Positive,Conclusion: Negative,Conclusion: Neutral,Conclusion: Mixed,Conclusion: Unknown,Conclusion: Not Applicable,Regimen: Microdosing,Regimen: Multiple Applications,Regimen: Single Dose,Substance Naivety: Substance-Naïve Participants,Substance Naivety: Substance-non-naïve participants,Substance Naivety: Unknown,text,id
0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,"Modulatory effects of ketamine, risperidone and lamotrigine on resting brain perfusion in healthy human subjects.^
Rationale: Resting brain perfusion, measured using the MRI-based arterial spin labelling (ASL) technique, is sensitive to detect central effects of single, clinically effective, doses of pharmacological compounds. However, pharmacological interaction experiments, such as the modulation of one drug response in the presence of another, have not been widely investigated using a task-free ASL approach. Objectives: We assessed the effects of three psychoactive compounds (ketamine, risperidone and lamotrigine), and their interaction, on resting brain perfusion in healthy human volunteers. Methods: A multivariate Gaussian process classification (GPC) and more conventional univariate analyses were applied. The four pre-infusion conditions for each subject comprised risperidone, lamotrigine and two placebo sessions. The two placebo conditions enabled us to evaluate the classification performance in a test-retest setting, in addition to its performance in distinguishing the active oral drugs from placebo (direct effect on brain perfusion). The post ketamine- or saline-infusion scans allowed the effect of ketamine, and its interaction with risperidone and lamotrigine, on brain perfusion to be characterised. Results: The pseudo-continuous ASL measurements of perfusion were sensitive to the effects of ketamine infusion and risperidone. The GPC captured consistent changes in perfusion across the group and contextualised the univariate changes with a larger pattern of regions contributing to accurate discrimination of ketamine from placebo. Conclusions: The findings argue against perfusion changes confounding in the previously described evoked BOLD response to ketamine and emphasise the blockade of the NMDA receptor over neuronal glutamate release in determining the perfusion changes induced by ketamine. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",7904
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,"Strategies to Prolong Ketamine's Efficacy in Adults with Treatment-Resistant Depression.^
INTRODUCTION: Ketamine treatment is capable of significant and rapid symptom improvement in adults with treatment-resistant depression (TRD). A limitation of ketamine treatment in TRD is the relatively short duration of time to relapse (e.g., median 2-4 weeks). The objective of the systematic review herein is to identify strategies capable of prolonging the acute efficacy of ketamine in adults with TRD. METHODS: PubMed/MEDLINE databases were searched from inception to December 2020 for clinical studies written in English using the following key terms: ketamine, prolong, and depression. A total of 454 articles were identified from the literature search which included all clinical studies regarding prolonging the antidepressant effects of ketamine. Twenty-two articles were included: ten randomized controlled trials (RCTs), eight prospective open-label trials, one retrospective chart review, and three case reports. The Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) guidelines were used for data extraction. The primary outcome was prolonged effect, defined as statistically significant antidepressant effects following acute ketamine treatment. RESULTS: A total of 454 articles were identified, and 22 articles were included. Different treatment modalites including pharmacological interventions, manualized-based psychotherapies, electroconvulsive therapy, transcranial magnetic stimulation, and intravenous monotherapy were examined to determine their impact on the prolongation of antidepressant effects following acute ketamine treatment. No treatment modality, other than repeat-dose IV ketamine, has demonstrated ability to significantly prolong the acute efficacy of IV ketamine in TRD. CONCLUSION: Hitherto, available open-label data and controlled trial data support repeat administration of IV ketamine as an effective strategy to prolong the efficacy of ketamine's antidepressant effects (although not the focus of the study herein, maintenance repeat-dose esketamine treatment is proven effective in esketamine responders). There is a need to identify multimodality strategies that are safe and capable of prolonging the efficacy of ketamine in adults with TRD.",5525
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,"Repeated oral ketamine for out-patient treatment of resistant depression: randomised, double-blind, placebo-controlled, proof-of-concept study.^
BACKGROUND: Ketamine has been demonstrated to improve depressive symptoms.AimsEvaluation of efficacy, safety and feasibility of repeated oral ketamine for out-patients with treatment-resistant depression (TRD). METHOD: In a randomised, double-blind, placebo-controlled, proof-of-concept trial, 41 participants received either 1 mg/kg oral ketamine or placebo thrice weekly for 21 days (ClinicalTrials.gov Identifier: NCT02037503). Evaluation was performed at baseline, 40 and 240 min post administration and on days 3, 7, 14 and 21. The main outcome measure was change in Montgomery-Åsberg Depression Rating Scale (MADRS). RESULTS: Twenty-two participants were randomised to the ketamine group, and 19 to the control, with 82.5% (n = 33) completing the study. In the ketamine group, a decrease in depressive symptoms was evident at all time points, whereas in the control group a decrease was evident only 40 min post administration. The reduction in MADRS score on day 21 was 12.75 in the ketamine group versus 2.49 points with placebo (P &lt; 0.001). Six participants in the ketamine group (27.3%) achieved remission compared with none of the controls (P &lt; 0.05). The number needed to treat for remission was 3.7. Side-effects were mild and transient. CONCLUSIONS: Repeated oral ketamine produced rapid and persistent amelioration of depressive symptoms in out-patients with TRD, and was well tolerated. These results suggest that add-on oral ketamine may hold significant promise in the care of patients suffering from TRD in the community.Declaration of interestNone.",2112
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,"Repeated intranasal ketamine for treatment-resistant depression - the way to go? Results from a pilot randomised controlled trial.^
BACKGROUND: Ketamine research in depression has mostly used intravenous, weight-based approaches, which are difficult to translate clinically. Intranasal (IN) ketamine is a promising alternative but no controlled data has been published on the feasibility, safety and potential efficacy of repeated IN ketamine treatments. METHODS: This randomised, double-blind, placebo-controlled pilot study compared a 4-week course of eight treatments of 100 mg ketamine or 4.5 mg midazolam. Each treatment was given as 10 separate IN sprays, self-administered 5 min apart. The study was stopped early due to poor tolerability after five treatment-resistant depressed participants were included. Feasibility, safety (acute and cumulative), cognitive and efficacy outcomes were assessed. Plasma ketamine and norketamine concentrations were assayed after the first treatment. RESULTS: Significant acute cardiovascular, psychotomimetic and neurological side effects occurred at doses < 100 mg ketamine. No participants were able to self-administer all 10 ketamine sprays due to incoordination; treatment time occasionally had to be extended (>45 min) due to acute side effects. No hepatic, cognitive or urinary changes were observed after the treatment course in either group. There was an approximately two-fold variation in ketamine and norketamine plasma concentrations between ketamine participants. At course end, one participant had remitted in each of the ketamine and midazolam groups. CONCLUSIONS: IN ketamine, with the drug formulation and delivery device used, was not a useful treatment approach in this study. Absorption was variable between individuals and acute tolerability was poor, requiring prolonged treatment administration time in some individuals. The drug formulation, the delivery device, the insufflation technique and individual patient factors play an important role in tolerability and efficacy when using IN ketamine for TRD.",2820
0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,"5-HT modulation of dopamine release in basal ganglia in psilocybin-induced psychosis in man--a PET study with [11C]raclopride.^
The modulating effects of serotonin on dopamine neurotransmission are not well understood, particularly in acute psychotic states. Positron emission tomography was used to examine the effect of psilocybin on the in vivo binding of [11C]raclopride to D2-dopamine receptors in the striatum in healthy volunteers after placebo and a psychotomimetic dose of psilocybin (n = 7). Psilocybin is a potent indoleamine hallucinogen and a mixed 5-HT2A and 5-HT1A receptor agonist. Psilocybin administration (0.25 mg/kg p.o.) produced changes in mood, disturbances in thinking, illusions, elementary and complex visual hallucinations and impaired ego-functioning. Psilocybin significantly decreased [11C]raclopride receptor binding potential (BP) bilaterally in the caudate nucleus (19%) and putamen (20%) consistent with an increase in endogenous dopamine. Changes in [11C]raclopride BP in the ventral striatum correlated with depersonalization associated with euphoria. Together with previous reports of 5-HT receptor involvement in striatal dopamine release, it is concluded that stimulation of both 5-HT2A and 5-HT1A receptors may be important for the modulation of striatal dopamine release in acute psychoses. The present results indirectly support the hypothesis of a serotonin-dopamine dysbalance in schizophrenia and suggest that psilocybin is a valuable tool in the analysis of serotonin-dopamine interactions in acute psychotic states.",8913
0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,"Effects of propofol and ketamine as combined anesthesia for electroconvulsive therapy in patients with depressive disorder.^
BACKGROUND: Electroconvulsive therapy (ECT) is a preferred therapy for major depressive disorder. Intravenous propofol, a sedative and hypnotic agent, is one of the choices of anesthetic for ECT. Ketamine, another anesthetic agent, providing sedation, amnesia, and analgesia, can also be used in patients undergoing ECT owing to its rapid action and persistent antidepressive effect. One adverse effect of ketamine is cardiovascular excitement, which may be reduced by propofol. Currently, the effects of combined anesthesia (propofol and ketamine) for patients with depressive disorder who have undergone ECT are unclear. The purpose of this study was to investigate the effects of the combined agents for patients undergoing ECT. METHODS: Forty-eight patients with Hamilton Depression Rating Scale (HDRS) scores greater than 20 were randomly divided into 3 groups (n=16 each): propofol group (group P), ketamine group (group K), and propofol plus ketamine group (group PK). Propofol (1.5 mg/kg), ketamine (0.8 mg/kg), and propofol (1.5 mg/kg) plus ketamine (0.8 mg/kg) were infused to each group of patients, respectively, before ECT by an anesthesiologist with no knowledge of the HDRS score. For the purpose of this study, the patients received a single ECT treatment and were assessed for depression using the HDRS scores (1 day before ECT and days 1, 2, 3, and 7 after the ECT treatment) by a psychiatrist with no knowledge of the randomization group. After the final assessment, the patients received further treatment as needed up to 3 treatments per week. Seizure energy index, seizure duration, and adverse effects were observed during anesthesia by a nurse with no knowledge of the study group. RESULTS: The HDRS scores improved earlier in group K and group PK. Decreases in HDRS scores were significantly greater in group K and group PK compared with those in group P. The adverse effects in group PK were fewer than those in group K. Seizure energy index and seizure duration in group K and group PK were higher and longer than those in group P during ECT. CONCLUSION: The results suggested that propofol combined with ketamine anesthesia might be the first-choice anesthesia in patients with depressive disorder undergoing ECT.",9007
0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,"Evidence of neurotoxicity of ecstasy: Sustained effects on electroencephalographic activity in polydrug users.^
Objective: According to previous EEG reports of indicative disturbances in Alpha and Beta activities, a systematic search for distinct EEG abnormalities in a broader population of Ecstasy users may especially corroborate the presumed specific neurotoxicity of Ecstasy in humans. Methods: 105 poly-drug consumers with former Ecstasy use and 41 persons with comparable drug history without Ecstasy use, and 11 drug naives were investigated for EEG features. Conventional EEG derivations of 19 electrodes according to the 10-20-system were conducted. Besides standard EEG bands, quantitative EEG analyses of 1-Hz-subdivided power ranges of Alpha, Theta and Beta bands have been considered. Results: Ecstasy users with medium and high cumulative Ecstasy doses revealed an increase in Theta and lower Alpha activities, significant increases in Beta activities, and a reduction of background activity. Ecstasy users with low cumulative Ecstasy doses showed a significant Alpha activity at 11 Hz. Interestingly, the spectral power of low frequencies in medium and high Ecstasy users was already significantly increased in the early phase of EEG recording. Statistical analyses suggested the main effect of Ecstasy to EEG results. Conclusions: Our data from a major sample of Ecstasy users support previous data revealing alterations of EEG frequency spectrum due rather to neurotoxic effects of Ecstasy on serotonergic systems in more detail. Accordingly, our data may be in line with the observation of attentional and memory impairments in Ecstasy users with moderate to high misuse. Despite the methodological problem of polydrug use also in our approach, our EEG results may be indicative of the neuropathophysiological background of the reported memory and attentional deficits in Ecstasy abusers. Overall, our findings may suggest the usefulness of EEG in diagnostic approaches in assessing neurotoxic sequela of this common drug abuse. © 2010 Adamaszek et al.",170
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,"Inhibition of cerebral type 1 cannabinoid receptors is associated with impaired auditory mismatch negativity generation in the ketamine model of schizophrenia.^
RATIONALE: Preclinical and clinical research suggests that the endogenous cannabinoid system is involved in cognitive impairments related to schizophrenia. In particular, the deficient generation of mismatch negativity (MMN) indicating auditory sensory memory is a characteristic finding in schizophrenic patients. Experimental studies implicate deficient N-methyl-D: -aspartate (NMDA) receptor functioning in such abnormalities. OBJECTIVES: The primary aim of this study was to investigate the effects of the cannabinoid CB(1) receptor antagonist rimonabant on MMN deficits in the NMDA receptor antagonist model of schizophrenia by using ketamine. METHODS: Twenty-four healthy male subjects participated in a randomized, double-blind, placebo-controlled cross-over study with subanesthetic doses of intravenous ketamine. The MMNs to frequency and duration deviants were elicited within an auditory oddball paradigm and recorded by a 32-channel EEG. Psychopathology was assessed using the Psychotomimetic States Inventory. RESULTS: Twenty subjects completed both experimental sessions. Ketamine infusion had no significant effect on MMN amplitudes in both deviance conditions. In contrast to placebo, co-administration of rimonabant produced significant deficits in MMN amplitudes to duration deviants at electrode position Fz. CONCLUSIONS: The results point to the involvement of the endogenous cannabinoid system in auditory sensory memory as a cognitive key feature in schizophrenia. They particularly suggest that CB(1) receptor antagonism may impair cognitive performance by a disturbed interaction between endocannabinergic activity and glutamatergic neurotransmission implied in schizophrenia.",7474
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,"Impulsivity, risk taking and recreational 'ecstasy' (MDMA) use.^
The present study investigated characteristics of recreational drug users, especially 'ecstasy' (MDMA) users, in 254 undergraduates. All participants completed a drug history questionnaire (DHQ), the impulsiveness venturesomeness and empathy questionnaire, a novel risk-taking task (Bets16), and 59 also completed the tri-dimensional personality questionnaire (TPQ). DHQ responses allocated participants to five groups: non-drug controls, cannabis users, polydrug (no ecstasy) users, low (<20 occasions) ecstasy users and high (>20 occasions) ecstasy users. Eighteen percent of the sample had used ecstasy and of the ecstasy users, only one had not used other substances. A larger proportion of high ecstasy users had also used amphetamines, cocaine and LSD in comparison to the low ecstasy and non-ecstasy polydrug users. High ecstasy users typically took significantly more ecstasy tablets compared with low ecstasy users. Impulsiveness, venturesomeness and novelty seeking behaviour increased from the non-drug users to high ecstasy users. Ecstasy users (low and high) and polydrug (non-ecstasy) users had higher levels of impulsivity, venturesomeness and novelty seeking behaviour compared with non-drug users. Furthermore, high ecstasy users scored higher on the Bets16 risk-taking measure than non-drug users, cannabis users and low ecstasy users. The findings are discussed in relation to: (i) the possibility that increased impulsivity pre-dated drug use; and (ii) the possible link between impulsivity and the putative serotonergic neurotoxicity of ecstasy.",1148
0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,"Former chronic methylenedioxymethamphetamine (MDMA or ecstasy) users report mild depressive symptoms.^
Previous work has indicated recreational use of methylenedioxymethamphetamine (MDMA or ecstasy) is associated with elevated scores on self-report measures of depression. We sought to examine the long-term effects of consumption on depression in a group of individuals who had consumed large quantities of the drug in the past, but were now leading relatively drug free lives. Respondents to this study (n = 29) had consumed an average of 1.5 ecstasy tablets in the last month, 8.4 in the last 6 months and 23.3 in the last 12 months. The estimated total consumed was 527 tablets, indicating that these respondents were indeed former chronic users of the drug. None of the respondents had consumed ecstasy in the last 14 days. Levels of depression (Beck's Depression Inventory) were significantly (p < 0.01) elevated compared to a matched non-drug using control group. Within the group of former chronic users, these levels of depression were not significantly affected by current use of alcohol, cannabis or amphetamine, but were positively correlated with an external locus of control (p < 0.05), infrequent but severe- (p < 0.05) and frequent but mild- (p < 0.005) self-report measures of life stress. Multiple regression indicated that levels of frequent but mild life stress (p < 0.005) and the quantity of ecstasy tablets respondents consumed over a 12-h period (p < 0.05) were the only variables that were significant predictors of self-reported levels of depression. The results of this study indicate that former chronic ecstasy users report higher levels of depression than their matched controls.",5177
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,"Prevalence and associations of challenging, difficult or distressing experiences using classic psychedelics.^
Previous studies have investigated challenging, difficult, or distressing classic psychedelic experiences, but little is known about the prevalence and associations of such experiences. Using nationally representative data of the US adult population (N = 2822), this study examined the prevalence and associations of challenging, difficult, or distressing experiences using classic psychedelics, in a subsample of respondents who reported lifetime classic psychedelic use (n = 613). Of the 613 respondents who reported lifetime classic psychedelic use, the majority of them (59.1 %) had never had a challenging, difficult, or distressing experience using a classic psychedelic, but 8.9 % of respondents reported functional impairment that lasted longer than one day as a result of such experiences. Notably, 2.6 % reported seeking medical, psychiatric, or psychological assistance in the days or weeks following their most challenging, difficult, or distressing classic psychedelic experience. In covariate-adjusted regression models, co-use of lithium, co-use of other mood stabilizers, and six set and setting variables (no preparation, disagreeable physical environment, negative mindset, no psychological support, dose was too large, major life event prior to experience) were associated with the degree of difficulty; and co-use of lithium, co-use of other mood stabilizers, and three set and setting variables (negative mindset, no psychological support, major life event prior to experience) were associated with overall risk of harm. In summary, this study provides insight into the prevalence and associations of challenging, difficult, or distressing classic psychedelic experiences. The findings broadly correspond with findings from previous studies and can inform harm reduction efforts and future experimental research designs.",8030
0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,"Patients’ accounts of increased 'connectedness' and 'acceptance' after psilocybin for treatment-resistant depression.^
Objective: To identify patients’ perceptions of the value of psilocybin as a treatment for depression. Method: Twenty patients enrolled in an open-label trial of psilocybin for treatment-resistant depression participated in a semistructured interview at 6-month follow-up. Thematic analysis was used to identify patients’ experiences of the treatment and how it compared with previous treatments. Results: Two main change processes were identified in relation to the treatment. The first concerned change from disconnection (from self, others, and world) to connection, and the second concerned change from avoidance (of emotion) to acceptance. A third theme concerned comparison between psilocybin and conventional treatments. Patients reported that medications and some short-term talking therapies tended to reinforce their sense of disconnection and avoidance, whereas treatment with psilocybin encouraged connection and acceptance. Conclusions: These results suggest that psilocybin treatment for depression may work via paradigmatically novel means, antithetical to antidepressant medications, and some short-term talking therapies. (PsycInfo Database Record (c) 2022 APA, all rights reserved)",9055
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,"Absence of behavioral sensitization in healthy human subjects following repeated exposure to ketamine.^
Rationale: Sensitization to the effects of N-methyl-d-aspartate (NMDA) glutamate receptor antagonists is robust in animals. However, the applicability of this model to humans is unclear because it currently rests on highly confounded retrospective studies of individuals who experienced protracted psychoses following repeated binges with NMDA receptor antagonists. Objectives: The purpose of the current study was to determine whether there was evidence of sensitization to the behavioral effects of ketamine in healthy human subjects with repeated exposure to this drug. Methods: Data were studied from 295 healthy human subjects who participated in one or more of 11 separate studies that involved ketamine administration over 14 years. Positive and negative symptoms (Brief Psychiatric Rating Scale: BPRS), perceptual alterations (Clinician-Administered Dissociative States Scale: CADSS), and ""high"" and ""anxiety"" states (Visual Analog Scale: VAS) that were measured in all studies were included as outcome measures. Results: After including the number of previous exposures, number of previous studies, and time since first exposure as variables, repeated exposure to ketamine did not result in increased behavioral responses, suggestive of behavioral sensitization. Conclusions: The current data do not provide evidence that repeated exposure to ketamine, albeit limited, is associated with sensitization to the behavioral effects of ketamine. © Springer-Verlag 2005.",1513
0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,"Study protocol for ""MDMA-assisted therapy as a treatment for major depressive disorder: A proof of principle study"".^
BACKGROUND: Major depressive disorder (MDD) is a world-leading cause of disability. The available treatments are not effective in all patients, and there is a significant need for more effective treatment options. Here we present the protocol for an investigator-initiated and publicly funded trial of MDMA-assisted therapy (MDMA-AT) for MDD. This single-site, open-label study investigates the proof of principle and safety of MDMA-AT in participants with MDD and provides an initial impression of treatment effectiveness. METHODS: A total of 12 participants [>18 years] with DSM-5 diagnosis of MDD will receive a flexible dose of MDMA in a therapeutic setting on two dosing days over a 4 week period preceded by three preparatory sessions. Each MDMA dosing session will be followed by three integration sessions. The primary outcome is change in MDD symptom severity, as measured by the mean change in MADRS scores from Baseline to 8 weeks after the second MDMA session. The secondary outcome is change in functional impairment, as evaluated by the mean change in Sheehan Disability Scale scores from Baseline to 8 weeks after the second MDMA session. Safety measures include vital signs, the incidence of Adverse Events and suicidality as measured by the Colombia-Suicide Severity Rating Scale. DISCUSSION: This proof of principle trial will inform the development of fully powered clinical trials, optimize the protocol for the administration of MDMA-AT in participants with MDD and explore uncertainties including barriers to recruitment, retention and acceptability of MDMA-AT as a treatment for MDD. CLINICAL TRIAL IDENTIFICATION: EudraCT number 2021-000805-26.",4658
0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,"Human brain effects of DMT assessed via EEG-fMRI.^
Psychedelics have attracted medical interest, but their effects on human brain function are incompletely understood. In a comprehensive, within-subjects, placebo-controlled design, we acquired multimodal neuroimaging [i.e., EEG-fMRI (electroencephalography-functional MRI)] data to assess the effects of intravenous (IV) N,N-Dimethyltryptamine (DMT) on brain function in 20 healthy volunteers. Simultaneous EEG-fMRI was acquired prior to, during, and after a bolus IV administration of 20 mg DMT, and, separately, placebo. At dosages consistent with the present study, DMT, a serotonin 2A receptor (5-HT2AR) agonist, induces a deeply immersive and radically altered state of consciousness. DMT is thus a useful research tool for probing the neural correlates of conscious experience. Here, fMRI results revealed robust increases in global functional connectivity (GFC), network disintegration and desegregation, and a compression of the principal cortical gradient under DMT. GFC × subjective intensity maps correlated with independent positron emission tomography (PET)-derived 5-HT2AR maps, and both overlapped with meta-analytical data implying human-specific psychological functions. Changes in major EEG-measured neurophysiological properties correlated with specific changes in various fMRI metrics, enriching our understanding of the neural basis of DMT's effects. The present findings advance on previous work by confirming a predominant action of DMT-and likely other 5-HT2AR agonist psychedelics-on the brain's transmodal association pole, i.e., the neurodevelopmentally and evolutionarily recent cortex that is associated with species-specific psychological advancements, and high expression of 5-HT2A receptors.",8552
